TITLE      Positronick CLI v0.1.0
SLUG       positronick-cli-v0-1-0
KIND       release
AUTHOR     @nsollazzo (Nicholas Sollazzo)
EXCERPT    Install souls and browse the registry from your terminal.
CATEGORY   Releases
TAGS       cli, release
VERSION    1.0.0
LISTING    Positronick CLI (positronick-cli)
CANONICAL  https://github.com/positronick/cli/releases/tag/v0.1.0
STATUS     published
VIEWS      42
PUBLISHED  2026-06-01T09:00:00.000Z
CREATED    2026-06-01T09:00:00.000Z
UPDATED    2026-06-01T09:00:00.000Z
